Date : 2025-08-04 08:23:00
Directory : c:\Users\BERG\bot-whatsapp-atendimento
Total : 127 files,  31434 codes, 535 comments, 2717 blanks, all 34686 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\command.tsx                        | TypeScript JSX     |        165 |          0 |         13 |        178 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\context-menu.tsx                   | TypeScript JSX     |        234 |          0 |         19 |        253 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\dashboard.tsx                      | TypeScript JSX     |        264 |         11 |         23 |        298 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\dialog.tsx                         | TypeScript JSX     |        122 |          0 |         14 |        136 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\drawer.tsx                         | TypeScript JSX     |        119 |          0 |         14 |        133 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\dropdown-menu.tsx                  | TypeScript JSX     |        239 |          0 |         19 |        258 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\form.tsx                           | TypeScript JSX     |        143 |          0 |         25 |        168 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\hover-card.tsx                     | TypeScript JSX     |         38 |          0 |          7 |         45 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\input-otp.tsx                      | TypeScript JSX     |         69 |          0 |          9 |         78 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\input.tsx                          | TypeScript JSX     |         18 |          0 |          4 |         22 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\label.tsx                          | TypeScript JSX     |         20 |          0 |          5 |         25 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\menubar.tsx                        | TypeScript JSX     |        257 |          0 |         20 |        277 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\navigation-menu.tsx                | TypeScript JSX     |        157 |          0 |         12 |        169 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\pagination.tsx                     | TypeScript JSX     |        117 |          0 |         11 |        128 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\popover.tsx                        | TypeScript JSX     |         41 |          0 |          8 |         49 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\progress.tsx                       | TypeScript JSX     |         27 |          0 |          5 |         32 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\radio-group.tsx                    | TypeScript JSX     |         40 |          0 |          6 |         46 |
