"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "TypeScript JSX", "PostCSS", "XML", "JavaScript", "YAML", "comment", "blank", "total"
"c:\Users\BERG\bot-whatsapp-atendimento\next.config.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\BERG\bot-whatsapp-atendimento\package-lock.json", "JSON", 0, 9498, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9499
"c:\Users\BERG\bot-whatsapp-atendimento\package.json", "JSON", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77
"c:\Users\BERG\bot-whatsapp-atendimento\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\BERG\bot-whatsapp-atendimento\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\BERG\bot-whatsapp-atendimento\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\BERG\bot-whatsapp-atendimento\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\BERG\bot-whatsapp-atendimento\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\BERG\bot-whatsapp-atendimento\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\api\config\messages\route.ts", "TypeScript", 0, 0, 267, 0, 0, 0, 0, 0, 0, 8, 39, 314
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\api\config\route.ts", "TypeScript", 0, 0, 274, 0, 0, 0, 0, 0, 0, 10, 48, 332
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\api\orders\route.ts", "TypeScript", 0, 0, 162, 0, 0, 0, 0, 0, 0, 4, 31, 197
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\api\parts\route.ts", "TypeScript", 0, 0, 194, 0, 0, 0, 0, 0, 0, 5, 36, 235
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\config\messages\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 536, 0, 0, 0, 0, 13, 36, 585
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\config\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 849, 0, 0, 0, 0, 10, 59, 918
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 6, 123
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\os\abertas\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 242, 0, 0, 0, 0, 5, 20, 267
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\os\em-andamento\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 276, 0, 0, 0, 0, 5, 20, 301
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\os\finalizadas\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 332, 0, 0, 0, 0, 5, 23, 360
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\os\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 254, 0, 0, 0, 0, 4, 17, 275
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 197, 0, 0, 0, 0, 4, 9, 210
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\parts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 297, 0, 0, 0, 0, 1, 28, 326
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\pecas\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 353, 0, 0, 0, 0, 4, 20, 377
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\tempo-medio\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 361, 0, 0, 0, 0, 6, 23, 390
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\test\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 6, 70
"c:\Users\BERG\bot-whatsapp-atendimento\src\app\usuarios\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 352, 0, 0, 0, 0, 4, 19, 375
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 8, 67
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 15, 158
